Regular,Irregular,Number
sniff,,
snore,,
snow,,
soak,,
soothe,,
sound,,
spare,,
spark,,
sparkle,,
spell,,
spill,,
spoil,,
spot,,
spray,,
sprout,,
squash,,
squeak,,
squeal,,
squeeze,,
stain,,
stamp,,
stare,,
start,,
stay,,
steer,,
step,,
stir,,
stitch,,
stop,,
store,,
strap,,
strengthen,,
stretch,,
strip,,
stroke,,
stuff,,
subtract,,
succeed,,
suck,,
suffer,,
suggest,,
suit,,
supply,,
support,,
suppose,,
surprise,,
surround,,
suspect,,
suspend,,
switch,,
talk,,
tame,,
tap,,
taste,,
tease,,
telephone,,
tempt,,
terrify,,
test,,
thank,,
thaw,,
tick,,
tickle,,
tie,,
time,,
tip,,
tire,,
touch,,
tour,,
tow,,
trace,,
trade,,
train,,
transport,,
trap,,
travel,,
treat,,
tremble,,
trick,,
trip,,
trot,,
trouble,,
trust,,
try,,
tug,,
tumble,,
turn,,
twist,,
type,,
undress,,
unfasten,,
unite,,
unlock,,
unpack,,
untidy,,
use,,
vanish,,
visit,,
wail,,
wait,,
walk,,
wander,,
want,,
warm,,
warn,,
wash,,
waste,,
watch,,
water,,
wave,,
weigh,,
welcome,,
whine,,
whip,,
whirl,,
whisper,,
whistle,,
wink,,
wipe,,
wish,,
wobble,,
wonder,,
work,,
worry,,
wrap,,
wreck,,
wrestle,,
wriggle,,
yawn,,
yell,,
zip,,
zoom,,
